241.067, 129.730, 8.335, 14.100 False
240.651, 129.714, 8.335, 14.150 False
240.235, 129.698, 8.335, 14.200 False
239.818, 129.682, 8.335, 14.250 False
239.402, 129.667, 8.335, 14.300 False
238.985, 129.651, 8.335, 14.350 False
238.569, 129.636, 8.335, 14.400 False
238.152, 129.621, 8.335, 14.450 False
237.736, 129.606, 8.335, 14.500 False
237.319, 129.591, 8.334, 14.550 False
236.903, 129.577, 8.334, 14.600 False
236.486, 129.562, 8.334, 14.650 False
236.070, 129.548, 8.334, 14.700 False
235.653, 129.534, 8.334, 14.750 False
235.237, 129.521, 8.334, 14.800 False
234.820, 129.508, 8.334, 14.850 False
234.404, 129.495, 8.334, 14.900 False
233.988, 129.482, 8.334, 14.950 False
233.571, 129.469, 8.334, 15.000 False
233.155, 129.457, 8.334, 15.050 False
232.738, 129.444, 8.334, 15.100 False
232.321, 129.432, 8.334, 15.150 False
231.905, 129.420, 8.334, 15.200 False
231.488, 129.408, 8.334, 15.250 False
231.072, 129.397, 8.334, 15.300 False
230.655, 129.385, 8.334, 15.350 False
230.239, 129.374, 8.334, 15.400 False
229.822, 129.363, 8.334, 15.450 False
229.406, 129.352, 8.334, 15.500 False
228.989, 129.342, 8.334, 15.550 False
228.573, 129.331, 8.334, 15.600 False
228.156, 129.321, 8.334, 15.650 False
227.739, 129.311, 8.334, 15.700 False
227.323, 129.301, 8.334, 15.750 False
226.906, 129.292, 8.334, 15.800 False
226.490, 129.282, 8.334, 15.850 False
226.073, 129.273, 8.334, 15.900 False
225.657, 129.264, 8.334, 15.950 False
225.240, 129.255, 8.333, 16.000 False
224.823, 129.247, 8.333, 16.050 False
224.407, 129.238, 8.333, 16.100 False
223.990, 129.230, 8.333, 16.150 False
223.574, 129.222, 8.333, 16.200 False
223.157, 129.214, 8.333, 16.250 False
222.740, 129.206, 8.333, 16.300 False
222.324, 129.199, 8.333, 16.350 False
221.907, 129.192, 8.333, 16.400 False
221.491, 129.185, 8.333, 16.450 False
221.074, 129.178, 8.333, 16.500 False
220.657, 129.172, 8.333, 16.550 False
220.241, 129.165, 8.333, 16.600 False
219.824, 129.159, 8.333, 16.650 False
219.408, 129.153, 8.333, 16.700 False
218.991, 129.147, 8.333, 16.750 False
218.574, 129.142, 8.333, 16.800 False
218.158, 129.136, 8.333, 16.850 False
217.741, 129.131, 8.333, 16.900 False
217.325, 129.126, 8.333, 16.950 False
216.908, 129.121, 8.333, 17.000 False
216.491, 129.117, 8.333, 17.050 False
216.075, 129.112, 8.333, 17.100 False
215.658, 129.108, 8.333, 17.150 False
215.241, 129.104, 8.333, 17.200 False
214.825, 129.100, 8.333, 17.250 False
214.408, 129.096, 8.333, 17.300 False
213.991, 129.092, 8.333, 17.350 False
